"nom_table";"TEC_COL";"ORG_CAI_NUM";"ORG_CAI_LIB";"ORG_BSE_NUM";"PIV_CAI_TOP";"ORG_CAI_TYP";"CPT_COP_NUM"
"IR_CAI_V";0;171;"MOA A COMPLETER";"94C171";0;"SM";NA
"IR_CAI_V";0;181;"MOA A COMPLETER";"94C181";0;"SM";NA
"IR_CAI_V";0;191;"MOA A COMPLETER";"94C191";0;"SM";NA
"IR_CAI_V";0;201;"MOA A COMPLETER";"94C201";0;"SM";NA
"IR_CAI_V";0;202;"MOA A COMPLETER";"94C202";0;"SM";NA
"IR_CAI_V";0;211;"MOA A COMPLETER";"94C211";0;"SM";NA
"IR_CAI_V";0;221;"MOA A COMPLETER";"94C221";0;"SM";NA
"IR_CAI_V";0;231;"MOA A COMPLETER";"94C231";0;"SM";NA
"IR_CAI_V";0;241;"MOA A COMPLETER";"94C241";0;"SM";NA
"IR_CAI_V";0;251;"MOA A COMPLETER";"94C251";0;"SM";NA
"IR_CAI_V";0;252;"MOA A COMPLETER";"94C252";0;"SM";NA
"IR_CAI_V";0;261;"MOA A COMPLETER";"94C261";0;"SM";NA
"IR_CAI_V";0;271;"MOA A COMPLETER";"94C271";0;"SM";NA
"IR_CAI_V";0;281;"MOA A COMPLETER";"94C281";0;"SM";NA
"IR_CAI_V";0;291;"MOA A COMPLETER";"94C291";0;"SM";NA
"IR_CAI_V";0;292;"MOA A COMPLETER";"94C292";0;"SM";NA
"IR_CAI_V";0;301;"MOA A COMPLETER";"94C301";0;"SM";NA
"IR_CAI_V";0;311;"MOA A COMPLETER";"94C311";0;"SM";NA
"IR_CAI_V";0;321;"MOA A COMPLETER";"94C321";0;"SM";NA
"IR_CAI_V";0;331;"MOA A COMPLETER";"94C331";0;"SM";NA
"IR_CAI_V";0;341;"MOA A COMPLETER";"94C341";0;"SM";NA
"IR_CAI_V";0;342;"MOA A COMPLETER";"94C342";0;"SM";NA
"IR_CAI_V";0;351;"MOA A COMPLETER";"94C351";0;"SM";NA
"IR_CAI_V";0;361;"MOA A COMPLETER";"94C361";0;"SM";NA
"IR_CAI_V";0;371;"MOA A COMPLETER";"94C371";0;"SM";NA
"IR_CAI_V";0;381;"MOA A COMPLETER";"94C381";0;"SM";NA
"IR_CAI_V";0;382;"MOA A COMPLETER";"94C382";0;"SM";NA
"IR_CAI_V";0;391;"MOA A COMPLETER";"94C391";0;"SM";NA
"IR_CAI_V";0;401;"MOA A COMPLETER";"94C401";0;"SM";NA
"IR_CAI_V";0;411;"MOA A COMPLETER";"94C411";0;"SM";NA
"IR_CAI_V";0;421;"MOA A COMPLETER";"94C421";0;"SM";NA
"IR_CAI_V";0;422;"MOA A COMPLETER";"94C422";0;"SM";NA
"IR_CAI_V";0;431;"MOA A COMPLETER";"94C431";0;"SM";NA
"IR_CAI_V";0;441;"MOA A COMPLETER";"94C441";0;"SM";NA
"IR_CAI_V";0;442;"MOA A COMPLETER";"94C442";0;"SM";NA
"IR_CAI_V";0;451;"MOA A COMPLETER";"94C451";0;"SM";NA
"IR_CAI_V";0;461;"MOA A COMPLETER";"94C461";0;"SM";NA
"IR_CAI_V";0;471;"MOA A COMPLETER";"94C471";0;"SM";NA
"IR_CAI_V";0;481;"MOA A COMPLETER";"94C481";0;"SM";NA
"IR_CAI_V";0;491;"MOA A COMPLETER";"94C491";0;"SM";NA
"IR_CAI_V";0;492;"MOA A COMPLETER";"94C492";0;"SM";NA
"IR_CAI_V";0;501;"MOA A COMPLETER";"94C501";0;"SM";NA
"IR_CAI_V";0;507;"MOA A COMPLETER";"94C507";0;"SM";NA
"IR_CAI_V";0;511;"MOA A COMPLETER";"94C511";0;"SM";NA
"IR_CAI_V";0;521;"MOA A COMPLETER";"94C521";0;"SM";NA
"IR_CAI_V";0;523;"MOA A COMPLETER";"94C523";0;"SM";NA
"IR_CAI_V";0;527;"MOA A COMPLETER";"94C527";0;"SM";NA
"IR_CAI_V";0;531;"MOA A COMPLETER";"94C531";0;"SM";NA
"IR_CAI_V";0;532;"MOA A COMPLETER";"94C532";0;"SM";NA
"IR_CAI_V";0;541;"MOA A COMPLETER";"94C541";0;"SM";NA
"IR_CAI_V";0;542;"MOA A COMPLETER";"94C542";0;"SM";NA
"IR_CAI_V";0;551;"MOA A COMPLETER";"94C551";0;"SM";NA
"IR_CAI_V";0;561;"MOA A COMPLETER";"94C561";0;"SM";NA
"IR_CAI_V";0;571;"MOA A COMPLETER";"94C571";0;"SM";NA
"IR_CAI_V";0;572;"MOA A COMPLETER";"94C572";0;"SM";NA
"IR_CAI_V";0;573;"MOA A COMPLETER";"94C573";0;"SM";NA
"IR_CAI_V";0;581;"MOA A COMPLETER";"94C581";0;"SM";NA
"IR_CAI_V";0;591;"MOA A COMPLETER";"94C591";0;"SM";NA
"IR_CAI_V";0;592;"MOA A COMPLETER";"94C592";0;"SM";NA
"IR_CAI_V";0;593;"MOA A COMPLETER";"94C593";0;"SM";NA
"IR_CAI_V";0;594;"MOA A COMPLETER";"94C594";0;"SM";NA
"IR_CAI_V";0;595;"MOA A COMPLETER";"94C595";0;"SM";NA
"IR_CAI_V";0;596;"MOA A COMPLETER";"94C596";0;"SM";NA
"IR_CAI_V";0;597;"MOA A COMPLETER";"94C597";0;"SM";NA
"IR_CAI_V";0;598;"MOA A COMPLETER";"94C598";0;"SM";NA
"IR_CAI_V";0;599;"MOA A COMPLETER";"94C599";0;"SM";NA
"IR_CAI_V";0;601;"MOA A COMPLETER";"94C601";0;"SM";NA
"IR_CAI_V";0;602;"MOA A COMPLETER";"94C602";0;"SM";NA
"IR_CAI_V";0;611;"MOA A COMPLETER";"94C611";0;"SM";NA
"IR_CAI_V";0;621;"MOA A COMPLETER";"94C621";0;"SM";NA
"IR_CAI_V";0;622;"MOA A COMPLETER";"94C622";0;"SM";NA
"IR_CAI_V";0;623;"MOA A COMPLETER";"94C623";0;"SM";NA
"IR_CAI_V";0;624;"MOA A COMPLETER";"94C624";0;"SM";NA
"IR_CAI_V";0;631;"MOA A COMPLETER";"94C631";0;"SM";NA
"IR_CAI_V";0;641;"MOA A COMPLETER";"94C641";0;"SM";NA
"IR_CAI_V";0;642;"MOA A COMPLETER";"94C642";0;"SM";NA
"IR_CAI_V";0;651;"MOA A COMPLETER";"94C651";0;"SM";NA
"IR_CAI_V";0;661;"MOA A COMPLETER";"94C661";0;"SM";NA
"IR_CAI_V";0;671;"MOA A COMPLETER";"94C671";0;"SM";NA
"IR_CAI_V";0;672;"MOA A COMPLETER";"94C672";0;"SM";NA
"IR_CAI_V";0;673;"MOA A COMPLETER";"94C673";0;"SM";NA
"IR_CAI_V";0;681;"MOA A COMPLETER";"94C681";0;"SM";NA
"IR_CAI_V";0;682;"MOA A COMPLETER";"94C682";0;"SM";NA
"IR_CAI_V";0;691;"MOA A COMPLETER";"94C691";0;"SM";NA
"IR_CAI_V";0;692;"MOA A COMPLETER";"94C692";0;"SM";NA
"IR_CAI_V";0;701;"MOA A COMPLETER";"94C701";0;"SM";NA
"IR_CAI_V";0;711;"MOA A COMPLETER";"94C711";0;"SM";NA
"IR_CAI_V";0;721;"MOA A COMPLETER";"94C721";0;"SM";NA
"IR_CAI_V";0;731;"MOA A COMPLETER";"94C731";0;"SM";NA
