BTF_PRS_IDE__BTF_HIS_DTD;BTF_PRS_IDE;BTF_HIS_DTD;BTF_TAR_NAT;BTF_HIS_DTF;BTF_TAR_COF
1311__11DEC2005:00:00:00;1311;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60
1312__11DEC2005:00:00:00;1312;11DEC2005:00:00:00;B;04SEP2014:00:00:00;120
1313__11DEC2005:00:00:00;1313;11DEC2005:00:00:00;B;31DEC9999:00:00:00;30
1316__11DEC2005:00:00:00;1316;11DEC2005:00:00:00;B;31DEC9999:00:00:00;40
1317__11DEC2005:00:00:00;1317;11DEC2005:00:00:00;B;31DEC9999:00:00:00;40
1318__11DEC2005:00:00:00;1318;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60
1319__11DEC2005:00:00:00;1319;11DEC2005:00:00:00;B;31DEC9999:00:00:00;40
1323__11DEC2005:00:00:00;1323;11DEC2005:00:00:00;B;10FEB2011:00:00:00;30
1323__11FEB2011:00:00:00;1323;11FEB2011:00:00:00;B;31DEC9999:00:00:00;20
1324__11DEC2005:00:00:00;1324;11DEC2005:00:00:00;B;10FEB2011:00:00:00;60
1324__11FEB2011:00:00:00;1324;11FEB2011:00:00:00;B;31DEC9999:00:00:00;40
1326__11DEC2005:00:00:00;1326;11DEC2005:00:00:00;B;29JUN2018:00:00:00;20
1327__11DEC2005:00:00:00;1327;11DEC2005:00:00:00;B;10FEB2011:00:00:00;40
1327__11FEB2011:00:00:00;1327;11FEB2011:00:00:00;B;29JUN2018:00:00:00;30
1330__11DEC2005:00:00:00;1330;11DEC2005:00:00:00;B;28JUN2018:00:00:00;60
1331__11DEC2005:00:00:00;1331;11DEC2005:00:00:00;B;31DEC9999:00:00:00;40
1332__11DEC2005:00:00:00;1332;11DEC2005:00:00:00;B;10FEB2011:00:00:00;60
1332__11FEB2011:00:00:00;1332;11FEB2011:00:00:00;B;31DEC9999:00:00:00;50
1333__11DEC2005:00:00:00;1333;11DEC2005:00:00:00;B;31DEC9999:00:00:00;40
1334__11DEC2005:00:00:00;1334;11DEC2005:00:00:00;B;31DEC9999:00:00:00;30
1335__11DEC2005:00:00:00;1335;11DEC2005:00:00:00;B;31DEC9999:00:00:00;90
1336__11DEC2005:00:00:00;1336;11DEC2005:00:00:00;B;31DEC9999:00:00:00;60
1337__11DEC2005:00:00:00;1337;11DEC2005:00:00:00;B;31DEC9999:00:00:00;120
1339__11DEC2005:00:00:00;1339;11DEC2005:00:00:00;B;07FEB2009:00:00:00;180
1339__08FEB2009:00:00:00;1339;08FEB2009:00:00:00;B;15MAR2011:00:00:00;150
1374__28JAN2004:00:00:00;1374;28JAN2004:00:00:00;B;07FEB2009:00:00:00;70
1374__08FEB2009:00:00:00;1374;08FEB2009:00:00:00;B;18JAN2010:00:00:00;65
1374__19JAN2010:00:00:00;1374;19JAN2010:00:00:00;B;10FEB2011:00:00:00;60
1374__11FEB2011:00:00:00;1374;11FEB2011:00:00:00;B;30JAN2012:00:00:00;50
1374__31JAN2012:00:00:00;1374;31JAN2012:00:00:00;B;13APR2018:00:00:00;45
1376__30JUL1997:00:00:00;1376;30JUL1997:00:00:00;B;31DEC9999:00:00:00;120
1377__30APR2007:00:00:00;1377;30APR2007:00:00:00;B;13APR2018:00:00:00;70
1385__04JUL2006:00:00:00;1385;04JUL2006:00:00:00;B;07FEB2009:00:00:00;100
1385__08FEB2009:00:00:00;1385;08FEB2009:00:00:00;B;10FEB2011:00:00:00;85
1385__11FEB2011:00:00:00;1385;11FEB2011:00:00:00;B;12JUL2017:00:00:00;66
1385__13JUL2017:00:00:00;1385;13JUL2017:00:00:00;B;13APR2018:00:00:00;66
1387__28JAN2004:00:00:00;1387;28JAN2004:00:00:00;B;07FEB2009:00:00:00;70
1387__08FEB2009:00:00:00;1387;08FEB2009:00:00:00;B;18JAN2010:00:00:00;65
1387__19JAN2010:00:00:00;1387;19JAN2010:00:00:00;B;10FEB2011:00:00:00;60
1387__11FEB2011:00:00:00;1387;11FEB2011:00:00:00;B;30JAN2012:00:00:00;50
1387__31JAN2012:00:00:00;1387;31JAN2012:00:00:00;B;13APR2018:00:00:00;45
1392__28JAN2004:00:00:00;1392;28JAN2004:00:00:00;B;31DEC9999:00:00:00;70
1393__28JAN2004:00:00:00;1393;28JAN2004:00:00:00;B;31DEC9999:00:00:00;130
1394__28JAN2004:00:00:00;1394;28JAN2004:00:00:00;B;31DEC9999:00:00:00;190
1414__11DEC2005:00:00:00;1414;11DEC2005:00:00:00;B;24DEC2008:00:00:00;60
1414__25DEC2008:00:00:00;1414;25DEC2008:00:00:00;B;31DEC9999:00:00:00;60
1415__11DEC2005:00:00:00;1415;11DEC2005:00:00:00;B;24DEC2008:00:00:00;100
1415__25DEC2008:00:00:00;1415;25DEC2008:00:00:00;B;31DEC9999:00:00:00;100
1416__25DEC2008:00:00:00;1416;25DEC2008:00:00:00;B;31DEC9999:00:00:00;60
1417__25DEC2008:00:00:00;1417;25DEC2008:00:00:00;B;31DEC9999:00:00:00;50
1418__25DEC2008:00:00:00;1418;25DEC2008:00:00:00;B;31DEC9999:00:00:00;40
1419__25DEC2008:00:00:00;1419;25DEC2008:00:00:00;B;31DEC9999:00:00:00;10
1420__30MAR1997:00:00:00;1420;30MAR1997:00:00:00;B;10FEB2011:00:00:00;60
1420__11FEB2011:00:00:00;1420;11FEB2011:00:00:00;B;31JAN2019:00:00:00;40
1421__30MAR1997:00:00:00;1421;30MAR1997:00:00:00;B;10FEB2011:00:00:00;80
1421__11FEB2011:00:00:00;1421;11FEB2011:00:00:00;B;31JAN2019:00:00:00;60
1422__30MAR1997:00:00:00;1422;30MAR1997:00:00:00;B;10FEB2011:00:00:00;60
1422__11FEB2011:00:00:00;1422;11FEB2011:00:00:00;B;01FEB2019:00:00:00;40
1423__30MAR1997:00:00:00;1423;30MAR1997:00:00:00;B;01FEB2019:00:00:00;60
1424__01JAN1996:00:00:00;1424;01JAN1996:00:00:00;B;01FEB2019:00:00:00;300
1425__01JAN1996:00:00:00;1425;01JAN1996:00:00:00;B;01FEB2019:00:00:00;300
1426__01JAN1996:00:00:00;1426;01JAN1996:00:00:00;B;01FEB2019:00:00:00;500
1430__30MAR1997:00:00:00;1430;30MAR1997:00:00:00;B;10FEB2011:00:00:00;60
1430__11FEB2011:00:00:00;1430;11FEB2011:00:00:00;B;01FEB2019:00:00:00;40
1431__30MAR1997:00:00:00;1431;30MAR1997:00:00:00;B;10FEB2011:00:00:00;80
1431__11FEB2011:00:00:00;1431;11FEB2011:00:00:00;B;01FEB2019:00:00:00;60
1432__30MAR1997:00:00:00;1432;30MAR1997:00:00:00;B;01FEB2019:00:00:00;40
1433__30MAR1997:00:00:00;1433;30MAR1997:00:00:00;B;01FEB2019:00:00:00;60
1434__01JAN1996:00:00:00;1434;01JAN1996:00:00:00;B;01FEB2019:00:00:00;300
1435__01JAN1996:00:00:00;1435;01JAN1996:00:00:00;B;01FEB2019:00:00:00;300
1436__01JAN1996:00:00:00;1436;01JAN1996:00:00:00;B;01FEB2019:00:00:00;500
1437__01JAN1996:00:00:00;1437;01JAN1996:00:00:00;B;10FEB2011:00:00:00;60
1437__11FEB2011:00:00:00;1437;11FEB2011:00:00:00;B;01FEB2019:00:00:00;40
1451__01JAN1996:00:00:00;1451;01JAN1996:00:00:00;B;30JAN2012:00:00:00;40
1451__31JAN2012:00:00:00;1451;31JAN2012:00:00:00;B;31MAR2019:00:00:00;35
1452__01JAN1996:00:00:00;1452;01JAN1996:00:00:00;B;30JAN2012:00:00:00;40
1452__31JAN2012:00:00:00;1452;31JAN2012:00:00:00;B;31MAR2019:00:00:00;35
1453__01JAN1996:00:00:00;1453;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1454__27MAR1997:00:00:00;1454;27MAR1997:00:00:00;B;31DEC9999:00:00:00;40
1455__27MAR1997:00:00:00;1455;27MAR1997:00:00:00;B;31DEC9999:00:00:00;70
1456__01JAN1996:00:00:00;1456;01JAN1996:00:00:00;B;31DEC9999:00:00:00;40
1457__01JAN1996:00:00:00;1457;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1458__01JAN1996:00:00:00;1458;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1459__01JAN1996:00:00:00;1459;01JAN1996:00:00:00;B;31DEC9999:00:00:00;70
1460__01DEC1998:00:00:00;1460;01DEC1998:00:00:00;B;31MAR2019:00:00:00;70
